Paper_ID,Assigned_to,Title,Lead_author,Year,Journal,Time_of_Year,Spatial_scale,Country,Continent,Taxonomic_scope,Species,Taxonomic_group,Quarry_Species,Comparison,Disturbance_Type,Disturbance_Specific,Response_Type,Response_Specific,Effect_YN,Effect_PNN,FID_Distance,Synopsis,Notes,Paper_Retained
D005,Liam,Impacts of man-made landscape features on numbers of estuarine waterbirds at low tide,"Burton, NHK.",2002,Environmental Management,Overwinter,National,UK,Europe,multi-species,Limosa limosa,Waders,No,Site: Disturbed vs non-disturbed/protected area,Recreational,Walking,Site,Local abundance,Yes,Negative,,Black-tailed Godwit showed a significant reduction in abundance in the presence of a footpath.,Indirect measure of disturbance based on distance to infrastructure including footpaths - remove?,No
D005,Liam,Impacts of man-made landscape features on numbers of estuarine waterbirds at low tide,"Burton, NHK.",2002,Environmental Management,Overwinter,National,UK,Europe,multi-species,Numenius arquata,Waders,No,Site: Disturbed vs non-disturbed/protected area,Recreational,Walking,Site,Local abundance,Yes,Negative,,Curlew showed a significant reduction in abundance in the presence of a footpath.,Indirect measure of disturbance based on distance to infrastructure including footpaths - remove?,No
D005,Liam,Impacts of man-made landscape features on numbers of estuarine waterbirds at low tide,"Burton, NHK.",2002,Environmental Management,Overwinter,National,UK,Europe,multi-species,Tringa totanus,Waders,No,Site: Disturbed vs non-disturbed/protected area,Recreational,Walking,Site,Local abundance,Yes,Negative,,Redshank showed a significant reduction in abundance in the presence of a footpath. This effect was less significant on weekdays compared to weekends.,Indirect measure of disturbance based on distance to infrastructure including footpaths - remove?,No
D005,Liam,Impacts of man-made landscape features on numbers of estuarine waterbirds at low tide,"Burton, NHK.",2002,Environmental Management,Overwinter,National,UK,Europe,multi-species,Charadrius hiaticula,Waders,No,Site: Disturbed vs non-disturbed/protected area,Recreational,Walking,Site,Local abundance,No,Neutral,,There was no effect of footpath presence on Ringed Plover abundance,Indirect measure of disturbance based on distance to infrastructure including footpaths - remove?,No
D005,Liam,Impacts of man-made landscape features on numbers of estuarine waterbirds at low tide,"Burton, NHK.",2002,Environmental Management,Overwinter,National,UK,Europe,multi-species,Pluvialis squatarola,Waders,No,Site: Disturbed vs non-disturbed/protected area,Recreational,Walking,Site,Local abundance,No,Neutral,,There was no effect of footpath presence on Grey Plover abundance.,Indirect measure of disturbance based on distance to infrastructure including footpaths - remove?,No
D005,Liam,Impacts of man-made landscape features on numbers of estuarine waterbirds at low tide,"Burton, NHK.",2002,Environmental Management,Overwinter,National,UK,Europe,multi-species,Branta bernicla ,Geese,No,Site: Disturbed vs non-disturbed/protected area,Recreational,Walking,Site,Local abundance,Yes,Positive,,Brent Geese were more abundant in count sections close to footpaths however abundance fell with increased proximity to an access point. This effect was less significant on weekdays compared to weekends.,Indirect measure of disturbance based on distance to infrastructure including footpaths - remove?,No
D006,Liam,Set-back distances to protect nesting and roosting seabirds off Vancouver Island from boat disturbance,Chatwin TA.,2013,Waterbirds,NA,Regional,Canada,North America,multi-species,Histrionicus histrionicus,Duck,No,Disturbance type,Recreational,Boating,Behavioural,Vigilance,Yes,NA,,"Experimentally sampled the distance that a motorboat or kayak could approach breeding and roosting birds. Categorised roost locations based on regular boat traffic as high, medium and low as a measure of habituation. Recorded the distance that the first bird in the group showed agitation (vigilance behaviours). Harlequin ducks more sensitive than other species with 23.5% agitated at a distance of 50m. Pooling data across species revealed that species were less sensitive to disturbance by kayak, allowing closer approach than the motorboat without agitation. Pooling across roosting and breeding birds and across species, there was evidence of habituation, with birds showing lower levels of agitation at high boat traffic sites. Roosting Harlequin Ducks were particularly sensitive at low disturbance sites. ",Study during the summer but harlequin ducks not breeding. Lots of species involved are not relevant - only relevant comparison between harlequin ducks and black oystercatchers which were breeding. ,No
D007,Liam,An eco-compensation policy increases shorebird diversity during the non-farming period for aquaculture,"Dai, WZ.",2021,Wetlands,Overwinter,Regional,China,Asia,multi-species,Multiple,Waders,No,NA,Recreational,Walking,Site,Comminity composition,No,NA,,Surveyed shorebirds along transects at farm ponds with experimentally manipulated water levels and control ponds and calculated shorebird richness and diversity. Disturbance measured as approximate built up area within 200m of the pond centre and number of farmers encountered on the transect. Neither disturbance factor influenced the species richness or abundance of shorebirds. Little Egret (not relevant) and Marsh Sandpiper was the dominant species - 36.2% and 18.6% of all shorebirds respectively.,Built up area a proxy for disturbance but number of farmers on the transect perhaps a more direct measure. ,Yes
D007,Liam,An eco-compensation policy increases shorebird diversity during the non-farming period for aquaculture,"Dai, WZ.",2021,Wetlands,Overwinter,Regional,China,Asia,multi-species,Multiple,Waders,No,NA,Recreational,Walking,Site,Local abundance,No,Neutral,,Surveyed shorebirds along transects at farm ponds with experimentally manipulated water levels and control ponds and calculated shorebird richness and diversity. Disturbance measured as approximate built up area within 200m of the pond centre and number of farmers encountered on the transect. Neither disturbance factor influenced the species richness or abundance of shorebirds. Little Egret (not relevant) and Marsh Sandpiper was the dominant species - 36.2% and 18.6% of all shorebirds respectively.,Built up area a proxy for disturbance but number of farmers on the transect perhaps a more direct measure. ,Yes
D008,Liam,The shorebird community structure at an intertidal mudflat in southern Mozambique,"de Boer, WF.",2002,Ardea,Overwinter,Site,Mozambique,Africa,multi-species,Multiple,Waders,No,Site: Disturbed vs non-disturbed/protected area,Recreational,Index,Site,Local abundance,Yes,Negative,,"Overwinter counts of shorebirds were made in two areas of the Inhaca mudflats in Mozambique - Sanco which was accessible to people and Banco which was not over a three year period. Conducted a multivariate analysis of bird community structure - multi-dimensional non-parametric scaling. They also counted the number of people in the count sectors. Contrary to expectation, birds were more abundant in areas with greater human density - probably due to shared habitat features such as presence of benthic organisms. However within Saco, monthly counts allowed comparison of days with and without people. Abundance, particularly of larger bodues species, was higher when people weren't present, suggesting human presence directly impacts large wader abundance. The Banco also had higher mean bird density than the disturbed Saco, but mean bird mass was lower, contrary to expectations. This suggests larger and smaller waders exhibit different responses to human presence with smaller waders selecting areas with lower human disturbance and fleeing before reducing their foraging time. ",Complicated picture - hard to tell if effect overall negative or neutral. Would suggest from local responses that human disturbance does have a negative impact overall.,Yes
D009,Liam,Comparing the community composition of European and eastern Chinese waterbirds and the influence of human factors on the China waterbird community,de Boer WF.,2011,Ambio,NA,,,,,,,,,,,,,,,,,GDP used as a proxy for disturbance levels - remove!,No
D010,Liam,Rise in human activities on the mudflats and brent geese (Branta bernicla) wintering distribution in relation to Zoestra spp. beds: a 30-year study,"Desmonts, D.",2009,Journal of Ornithology,Overwinter,Site,France,Europe,single-species,Branta bernicla ,Geese,No,Site: Disturbed vs non-disturbed/protected area,Recreational,Bait digging,Site,Local abundance,Yes,Neutral,,"Influence of shellfish farming and clam harvesting on Brent Goose abundance in the Gulf of Morbihan. Survey period split temporally into low human activities (1970 - 1983) and high human activities (1989-2000). Tested for differences in brent goose abundance and distribution and Zostera characteristics, area and fragmentation - attempt to link the two. Resource availability of two Zostera spp. determined abundance of Brent Geese within census zones - relationship between two Zostera species and Brent Geese changed across time periods - tighter with intertidal Z.notlii in the second period. Change linked to human activities - changes in goose distribution largely followed changes in Z. noltii fragmentation - geese increased where fragmentation decreased - related to shellfish farming - increased shellfish farming led to increased fragmentation. Geese increased less in census zones where there was clam harvesting. ",Changes in local goose abundance driven by indirect effects of human activities on resource availability - not a direct disturbance measure. Can't rule out a direct disturbance effect but not clearly demonstrated. ,Yes
D011,Liam,"Distribution of common eiders Somateria mollissima during the brood-rearing and moulting periods in the St. Lawrence Estuary, Canada","Dieval, H.",2011,Wildlife Biology,Moult,Site,Canada,North America,single-species,Somateria mollissima,Duck,No,NA,Recreational,Index,Site,Local abundance,No,Neutral,,"Surveyed St Lawrence River Estuary and determined the factors explaining the spatial and temporal distribution of Eiders during the brood-rearing and moult period by measuring a range of environmental variables. Human disturbance index measured during surveys - simple presence/absence. In 2004 - characterised disturbance intensity for each person as low/medium/high on land and on the water. Developed a human disturbance index using a PCA - frequency, total number of people per km, passive, moderate and extreme activity per km. Index of human disturbance was not correlated with the distribution of Eiders of any age class.  Food resources were the main factor driving Eider distributions. ",Disturbance types aggregated into a single index.,Yes
D012,Liam,Spatiotemporal assessment of littoral waterbirds for establishing ecological indicators of Mediterranean coastal lagoons,"Farinos-Celdrran, P.",2017,International Journal of Geo-Information,NA,,,,,,,,,,,,,,,,,Distance to infrastructure from land cover data used as a proxy for disturbance - remove.,No
D013,Liam,"The relative importance of human disturbance, environmental and spatial factors on the community composition of wetland birds","Mereta, ST.",2021,Water,NA,,,,,,,,,,,,,,,,,"Disturbance categories measured for wetlands relate to land-use changes such as crop cultivation, waste dumping, mining, tree planting, grazing etc rather than direct disturbance caused by recreation or hunting - not relevant. ",No
D014,Liam,Activating an artisanal saltpan: tourism crowding in or waterbirds crowding out?,"Ramos, J.",2022,"International Journal of Culture, Tourism and Hospitality",Year-round,Site,Portugal,Europe,multi-species,Avocetta recurvirostra,Waders,No,Season: Disturbed vs non-disturbed/protected area,Recreational,Walking,Site,Local abundance,No,Neutral,,Waders were counted at an artisinal saltpan at before (09:00) and after (11:00) the visit of a tourist group walking a pre-defined route around the salt pan. Birds were also counted at the same times on days when the tourists were not present as a control. Tourist visits did not impact the number of Avocets present at the salt pan suggesting the tourist visits were not diturbing the habitat. Results possibly suggest habitauation to disturbance.,,Yes
D015,Liam,Terrestrial threats dominate the waterbird landscape of fear in a savannah pan wetland system,"Tarakini, T.",2020,Wildlife Biology,,,,,,,,,,,,,,,,,,Anthropogenic disturbance (58% of cases including dogs) lumped in with natural terrestrial predators and domestic dogs for the purposes of analysis. Can't separate out effects of human disturbance - remove.,No
D016,Liam,Living together: Waterbirds distinguish between local fishermen and casual outfits,Feng CZ.,2020,Global Ecology and Conservation,Overwinter,Site,China,Asia,multi-species,Tringa stagnatilis,Waders,No,Disturbance type,Recreational,Walking,Behavioural,FID,NA,NA,21.2 (± 5.2) vs. (12.3 ±3.4),"The paper tested habituation to fishermen/bait diggers by testing flight initiation distances of waders in response to people wearing fishermen outfits vs. people wearing a casual outfit. FID was higher across all 6 wader species when people were wearing the casual outfit, suggesting habituation to fishing/bait-digging activities at the site. ",Not sure about the sign of the effect - positive relative to a non-fisherman but still caused disturbance,Yes
D016,Liam,Living together: Waterbirds distinguish between local fishermen and casual outfits,Feng CZ.,2020,Global Ecology and Conservation,Overwinter,Site,China,Asia,multi-species,Tringa nebularia,Waders,No,Disturbance type,Recreational,Walking,Behavioural,FID,NA,NA,31.1 (± 11.7) vs. (14.8 ± 5.6) ,"The paper tested habituation to fishermen/bait diggers by testing flight initiation distances of waders in response to people wearing fishermen outfits vs. people wearing a casual outfit. FID was higher across all 6 wader species when people were wearing the casual outfit, suggesting habituation to fishing/bait-digging activities at the site. ",Not sure about the sign of the effect - positive relative to a non-fisherman but still caused disturbance,Yes
D016,Liam,Living together: Waterbirds distinguish between local fishermen and casual outfits,Feng CZ.,2020,Global Ecology and Conservation,Overwinter,Site,China,Asia,multi-species,Charadrius alexandrinus,Waders,No,Disturbance type,Recreational,Walking,Behavioural,FID,NA,NA,32.2 (± 6.0) vs. (20.3 ± 5.1),"The paper tested habituation to fishermen/bait diggers by testing flight initiation distances of waders in response to people wearing fishermen outfits vs. people wearing a casual outfit. FID was higher across all 6 wader species when people were wearing the casual outfit, suggesting habituation to fishing/bait-digging activities at the site. ",Not sure about the sign of the effect - positive relative to a non-fisherman but still caused disturbance,Yes
D016,Liam,Living together: Waterbirds distinguish between local fishermen and casual outfits,Feng CZ.,2020,Global Ecology and Conservation,Overwinter,Site,China,Asia,multi-species,Calidris alpina,Waders,No,Disturbance type,Recreational,Walking,Behavioural,FID,NA,NA,26.2 (± 5.4) vs. 10.3 (± 2.9),"The paper tested habituation to fishermen/bait diggers by testing flight initiation distances of waders in response to people wearing fishermen outfits vs. people wearing a casual outfit. FID was higher across all 6 wader species when people were wearing the casual outfit, suggesting habituation to fishing/bait-digging activities at the site. ",Not sure about the sign of the effect - positive relative to a non-fisherman but still caused disturbance,Yes
D016,Liam,Living together: Waterbirds distinguish between local fishermen and casual outfits,Feng CZ.,2020,Global Ecology and Conservation,Overwinter,Site,China,Asia,multi-species,Tringa erythropus,Waders,No,Disturbance type,Recreational,Walking,Behavioural,FID,NA,NA,20.9 (± 4.2) vs (11.4 (± 3.5),"The paper tested habituation to fishermen/bait diggers by testing flight initiation distances of waders in response to people wearing fishermen outfits vs. people wearing a casual outfit. FID was higher across all 6 wader species when people were wearing the casual outfit, suggesting habituation to fishing/bait-digging activities at the site. ",Not sure about the sign of the effect - positive relative to a non-fisherman but still caused disturbance,Yes
D016,Liam,Living together: Waterbirds distinguish between local fishermen and casual outfits,Feng CZ.,2020,Global Ecology and Conservation,Overwinter,Site,China,Asia,multi-species,Tringa totanus,Waders,No,Disturbance type,Recreational,Walking,Behavioural,FID,NA,NA,19.6 (± 4.1) vs (11.1 ± 2.0),"The paper tested habituation to fishermen/bait diggers by testing flight initiation distances of waders in response to people wearing fishermen outfits vs. people wearing a casual outfit. FID was higher across all 6 wader species when people were wearing the casual outfit, suggesting habituation to fishing/bait-digging activities at the site. ",Not sure about the sign of the effect - positive relative to a non-fisherman but still caused disturbance,Yes
D017,Liam,Sensitivity of wildlife to spatial patterns of recreationist behavior: A critical assessment of minimum approaching distances and buffer areas for grassland birds,"Fernandez-Juricic, E.",2005,Biological Conservation,,,,,,,,,,,,,,,,,,"Data collected during the end of the breeding season, not comparable to over winter period when wildfowling disturbance occurs - remove. ",No
D018,Liam,The importance of artificial wetlands for birds: A case study from Cyprus,"Giosa, E.",2018,PLoS One,Year-round,National,Cyprus,Europe,multi-species,Multiple,Multiple,Yes,Site: Disturbed vs non-disturbed/protected area,Wildfowling,Shooting,Site,Comminity composition,Yes,Negative,,"Surveyed birds at wetlands across Cyprus. Calculated species richness and diversity indices for each site across the annual cycle for three years (2009 - 2011). Created a 250m buffer around each wetland and the proportion of hunting reserves in that buffer - refuges where hunting is prohibited. Modelled richness and diversity as a function of hunting reserve cover, depth, size and length of roads within the buffer. Hunting reserve percentage was the second most important explanatory variable for species richness after depth. Relationship between reserves and diversity was also positive but weaker.",Proportion of area covered by hunting reserves is not a direct measure of hunting disturbance frequency/intensity. ,Yes
D019,Liam,Feather corticosterone does not correlate with environmental stressors or body condition in an endangered waterbird,"Gormally, BMG.",2020,Conservation Physiology,NA,Regional,USA,North America,single-species,Gallinula galeata,Rails,No,Site: Disturbed vs non-disturbed/protected area,Recreational,Walking,Physiological,Hormones,,Neutral,,"Measured feather corticosteroid levels in Hawaiian Gallinules across multiple sites and modelled it as a function of human disturbance level (number of visitors per day), proximity to urban development, population density and body condition. There was no significant relationship between feather corticosterone level and human disturbance.",Study takes place during breeding season. Flightless oceanic island rails perhaps not the best comparison for e.g. coots in terms of disturbance responses. Remove?,No
D020,Liam,Monitoring human disturbance: Factors affecting escape behaviour of waterbirds in North African wetlands,"Halassi, I.",2022,African Journal of Ecology,Overwinter,Regional,Algeria,Africa,multi-species,Multiple,Multiple,No,NA,Recreational,Walking,Behavioural,FID,,,,"Measured flight initiation distances in response to observer approach across a guild of overwintering waterbirds at 2 wetlands in Algeria. FID was then modelled as a function of species, body mass, flock size and composition, season, site, activity and starting distance of the observer. Starting distance had the largest effect on FID, with birds showing greater FIDs as approach distance increased. Smaller birds also showed shorter FID. Birds at the protected (RAMSAR) wetland had shorter FIDs han those at the unprotected wetland - this might be a reflection of disturbance/hunting levels but it's not a direct measure of disturbance. ","The study doesn't compare FIDs between disturbance types, it just measures them as a function of species characteristics and observer approach distance. As such it doesn't directly test a disturbance effect. Probably remove.",No
D021,Liam,Behavioural responses of non-breeding waterbirds to marine traffic in the near-shore environment,"Jarrett, D.",2020,Bird Study,Overwinter,Regional,UK,Europe,multi-species,Somateria mollissima,Duck,No,NA,Recreational,Boating,Behavioural,Movement,,,,"Comparative study of responses of non-breeding waterbirds to ferry traffic in Orkney based on observations of behavioural responses. Species-specific models of response probability (dive, flight, swim-away) and flight probability allow comparative analysis of the responses of 5 species of sea ducks and 6 other species of waterbirds to vessel traffic. Other factors including sea state, site, flock size, distance to ferry and time of year were also included. Distance to ferry had a significant influence on the likelihood of response across all species. There was also a seaosnal decline in response probability across the winter period suggesting habituation to ferry disturbance. Eiders responded less frequently to ferry disturbance than the other duck species. Eiders were also more likely to take flight in rougher sea states. ",Ferry traffic not recreational disturbance - remove,No
D021,Liam,Behavioural responses of non-breeding waterbirds to marine traffic in the near-shore environment,"Jarrett, D.",2021,Bird Study,Overwinter,Regional,UK,Europe,multi-species,Clangula hyemalis,Duck,No,NA,Recreational,Boating,Behavioural,Movement,,,,Long-tailed Ducks were the most responsive to ferry traffic amongst the ducks surveyed. ,Ferry traffic not recreational disturbance - remove,No
D021,Liam,Behavioural responses of non-breeding waterbirds to marine traffic in the near-shore environment,"Jarrett, D.",2022,Bird Study,Overwinter,Regional,UK,Europe,multi-species,Mergus serrator,Duck,No,NA,Recreational,Boating,Behavioural,Movement,,,,Red-breasted Mergansers exhibited a similar level of response to ferry traffic as Long-tailed Ducks.,Ferry traffic not recreational disturbance - remove,No
D022,Liam,Spatiotemporal Changes in Waterfowl Habitat Suitability in the Caohai Lake Wetland and Responses to Human Activities,"Liu, X.",2022,Sustainability,NA,,,,,,,,,,,,,,,,,Human disturbance index calculated using distance to road and residential areas from satellite landcover data. These proxies are an indirect measure of disturbance and as such the study is not relevant. ,No
D023,Liam,"Agent-based simulations of interactions between duck population, farming decisions and leasing of hunting rights in the Camargue (Southern France)","Mathevet, R.",2003,Ecological Modelling,NA,,,,,,,,,,,,,,,,,"Simulation study to look   of hunting activity and farming might interact to drive land-use change in the Camarague over time and how this might influence the spatial distribution of the wintering Teal population in the reserve. This is a modelling study, looking mainly at the drivers of land use change and is not tested on real bird distribution data and as such is not relevant for the review.   ",No
D024,Liam,"Evaluation of unmanned aerial vehicle shape, flight path and camera type for waterfowl surveys: disturbance effects and species recognition","McEvoy, JF.",2016,PeerJ,Overwinter,Regional,Australia,Australasia,multi-species,Multiple,Multiple,No,NA,Recreational,UAVs,Behavioural,Movement,,,,"Evaluated the disturbance impacts of various models of fixed-winged UAVs on mixed-species (Coots, Ducks, Swans) waterfowl flocks at two wetland sites in NSW. They flew transects at various altitudes above flocks and solitary birds and recorded vigilance and flight responses. Disturbance levels were generally minimal. Flight responses were rare and typicaly encountered when the UAV was launched directly at flocks at low altitude (10-15m) during take-off. Little to no disturbance effects were observed when UAVs were flown at least 60m (fixed-wing) or 40m (multirotor) above the birds. Disturbance responses in terms of vigilance and avoidance was observed below these altitudes and when fixed-wing UAVs approached directly or rapidly changed altitude and/or direction near animals.",Useful background but not entirely sure this is testing a direct disturbanc effect. Hard to quantify this as negative/neutral/positive.,Yes
D025,Liam,Effects of stewardship on protected area effectiveness for coastal birds,"Michel, NL.",2021,Conservation Biology,Overwinter,Regional,USA,North America,multi-species,Himantopus palliatus,Waders,No,NA,Recreational,,Demographic ,Population change,,Negative,,"Modelled population trends from eBird data (2007 - 2018) for 8 waders species at coastal sites across the Gulf of Mexico and Atlantic Coast. Compared trends between stewardship sites (active management/stewardship to reduce human disturbance), protected areas and unprotected areas. Stewardship included habitat restoration and management, control of invasive species and predator management - not relevant from a disturbance context.Trends modelled during breeding (not relevant) and overwinter periods separately. Stewardship appeared to be more beneficial during breeding than the non-breeding period. Population trends for American Oystercatcher were more negative at unprotected sites compared with stewardship/protected sites.",Site designation is a proxy for overall levels of human disturbance. Disturbance not measured directly. Not clear about the exact type and extent of recreational disturbance occurring at sites.,No
D025,Liam,Effects of stewardship on protected area effectiveness for coastal birds,"Michel, NL.",2021,Conservation Biology,Overwinter,Regional,USA,North America,multi-species,Numenius americanus,Waders,No,NA,Recreational,,Demographic ,Population change,,Positive,,Population trends for Long-billed Curlew were more negative at protected sites compared with unprotected sites. Confidence intervals for stewardships sites encompassed the span of the data.,Site designation is a proxy for overall levels of human disturbance. Disturbance not measured directly. Not clear about the exact type and extent of recreational disturbance occurring at sites.,No
D025,Liam,Effects of stewardship on protected area effectiveness for coastal birds,"Michel, NL.",2021,Conservation Biology,Overwinter,Regional,USA,North America,multi-species,Limosa fedoa,Waders,No,NA,Recreational,,Demographic ,Population change,,Negative,,Population trends for Marbled Godwit were more positive at protected sites compared with unprotected and stewardship sites.,Site designation is a proxy for overall levels of human disturbance. Disturbance not measured directly. Not clear about the exact type and extent of recreational disturbance occurring at sites.,No
D025,Liam,Effects of stewardship on protected area effectiveness for coastal birds,"Michel, NL.",2021,Conservation Biology,Overwinter,Regional,USA,North America,multi-species,Charadrius melodius,Waders,No,NA,Recreational,,Demographic ,Population change,,Negative,,Piping Plovers showed more positive trends at stewardship sites compared with protected and unprotected sites.,Site designation is a proxy for overall levels of human disturbance. Disturbance not measured directly. Not clear about the exact type and extent of recreational disturbance occurring at sites.,No
D025,Liam,Effects of stewardship on protected area effectiveness for coastal birds,"Michel, NL.",2021,Conservation Biology,Overwinter,Regional,USA,North America,multi-species,Calidris canutus,Waders,No,NA,Recreational,,Demographic ,Population change,,Negative,,Red Knots showed more positive trends at stewardship and protected sites compared to unprotected areas..,Site designation is a proxy for overall levels of human disturbance. Disturbance not measured directly. Not clear about the exact type and extent of recreational disturbance occurring at sites.,No
D025,Liam,Effects of stewardship on protected area effectiveness for coastal birds,"Michel, NL.",2021,Conservation Biology,Overwinter,Regional,USA,North America,multi-species,Charadrius nivosus,Waders,No,NA,Recreational,,Demographic ,Population change,,Neutral,,Snow Plovers showed similar trends across site types.,Site designation is a proxy for overall levels of human disturbance. Disturbance not measured directly. Not clear about the exact type and extent of recreational disturbance occurring at sites.,No
D025,Liam,Effects of stewardship on protected area effectiveness for coastal birds,"Michel, NL.",2021,Conservation Biology,Overwinter,Regional,USA,North America,multi-species,Calidris mauri,Waders,No,NA,Recreational,,Demographic ,Population change,,Negative,,Western Sandpipers showed more positive trends at protected sites compared with unprotected sites CIs for stewardship sites encompassed the span of the data. ,Site designation is a proxy for overall levels of human disturbance. Disturbance not measured directly. Not clear about the exact type and extent of recreational disturbance occurring at sites.,No
