Paper_ID,Assigned_to,Title,Lead_author,Year,Journal,Time_of_Year,Spatial_scale,Country,Continent,Taxonomic_scope,Species,Taxonomic_group,Quarry_Species,Comparison,Disturbance_Type,Disturbance_Specific,Response_Type,Response_Specific,Effect_YN,Effect_PNN,FID_Distance,Synopsis,Notes,Paper_Retained,,,,,,,,
D010,Liam,Rise in human activities on the mudflats and brent geese (Branta bernicla) wintering distribution in relation to Zoestra spp. beds: a 30-year study,"Desmonts, D.",2009,Journal of Ornithology,Overwinter,Site,France,Europe,single-species,Branta bernicla,Geese,No,Site: Disturbed vs non-disturbed/protected area,Recreational,Bait digging,Site,Local abundance,Yes,Neutral,NA,"Influence of shellfish farming and clam harvesting on Brent Goose abundance in the Gulf of Morbihan. Survey period split temporally into low human activities (1970 - 1983) and high human activities (1989-2000). Tested for differences in brent goose abundance and distribution and Zostera characteristics, area and fragmentation - attempt to link the two. Resource availability of two Zostera spp. determined abundance of Brent Geese within census zones - relationship between two Zostera species and Brent Geese changed across time periods - tighter with intertidal Z.notlii in the second period. Change linked to human activities - changes in goose distribution largely followed changes in Z. noltii fragmentation - geese increased where fragmentation decreased - related to shellfish farming - increased shellfish farming led to increased fragmentation. Geese increased less in census zones where there was clam harvesting.",Changes in local goose abundance driven by indirect effects of human activities on resource availability - not a direct disturbance measure. Can't rule out a direct disturbance effect but not clearly demonstrated.,Yes,,,,,,,,
D011,Liam,"Distribution of common eiders Somateria mollissima during the brood-rearing and moulting periods in the St. Lawrence Estuary, Canada","Dieval, H.",2011,Wildlife Biology,Moult,Site,Canada,North America,single-species,Somateria mollissima,Duck,No,NA,Recreational,Index,Site,Local abundance,No,Neutral,NA,"Surveyed St Lawrence River Estuary and determined the factors explaining the spatial and temporal distribution of Eiders during the brood-rearing and moult period by measuring a range of environmental variables. Human disturbance index measured during surveys - simple presence/absence. In 2004 - characterised disturbance intensity for each person as low/medium/high on land and on the water. Developed a human disturbance index using a PCA - frequency, total number of people per km, passive, moderate and extreme activity per km. Index of human disturbance was not correlated with the distribution of Eiders of any age class.  Food resources were the main factor driving Eider distributions.",Disturbance types aggregated into a single index.,Yes,,,,,,,,
D014,Liam,Activating an artisanal saltpan: tourism crowding in or waterbirds crowding out?,"Ramos, J.",2022,"International Journal of Culture, Tourism and Hospitality",Year-round,Site,Portugal,Europe,multi-species,Avocetta recurvirostra,Waders,No,Season: Disturbed vs non-disturbed/protected area,Recreational,Walking,Site,Local abundance,No,Neutral,NA,Waders were counted at an artisinal saltpan at before (09:00) and after (11:00) the visit of a tourist group walking a pre-defined route around the salt pan. Birds were also counted at the same times on days when the tourists were not present as a control. Tourist visits did not impact the number of Avocets present at the salt pan suggesting the tourist visits were not diturbing the habitat. Results possibly suggest habitauation to disturbance.,NA,Yes,,,,,,,,
D016,Liam,Living together: Waterbirds distinguish between local fishermen and casual outfits,Feng CZ.,2020,Global Ecology and Conservation,Overwinter,Site,China,Asia,multi-species,Tringa stagnatilis,Waders,No,Disturbance type,Recreational,Walking,Behavioural,FID,NA,NA,21.2 (<U+00B1> 5.2) vs. (12.3 <U+00B1>3.4),"The paper tested habituation to fishermen/bait diggers by testing flight initiation distances of waders in response to people wearing fishermen outfits vs. people wearing a casual outfit. FID was higher across all 6 wader species when people were wearing the casual outfit, suggesting habituation to fishing/bait-digging activities at the site.",Not sure about the sign of the effect - positive relative to a non-fisherman but still caused disturbance,Yes,,,,,,,,
D016,Liam,Living together: Waterbirds distinguish between local fishermen and casual outfits,Feng CZ.,2020,Global Ecology and Conservation,Overwinter,Site,China,Asia,multi-species,Tringa nebularia,Waders,No,Disturbance type,Recreational,Walking,Behavioural,FID,NA,NA,31.1 (<U+00B1> 11.7) vs. (14.8 <U+00B1> 5.6),"The paper tested habituation to fishermen/bait diggers by testing flight initiation distances of waders in response to people wearing fishermen outfits vs. people wearing a casual outfit. FID was higher across all 6 wader species when people were wearing the casual outfit, suggesting habituation to fishing/bait-digging activities at the site.",Not sure about the sign of the effect - positive relative to a non-fisherman but still caused disturbance,Yes,,,,,,,,
D016,Liam,Living together: Waterbirds distinguish between local fishermen and casual outfits,Feng CZ.,2020,Global Ecology and Conservation,Overwinter,Site,China,Asia,multi-species,Charadrius alexandrinus,Waders,No,Disturbance type,Recreational,Walking,Behavioural,FID,NA,NA,32.2 (<U+00B1> 6.0) vs. (20.3 <U+00B1> 5.1),"The paper tested habituation to fishermen/bait diggers by testing flight initiation distances of waders in response to people wearing fishermen outfits vs. people wearing a casual outfit. FID was higher across all 6 wader species when people were wearing the casual outfit, suggesting habituation to fishing/bait-digging activities at the site.",Not sure about the sign of the effect - positive relative to a non-fisherman but still caused disturbance,Yes,,,,,,,,
D016,Liam,Living together: Waterbirds distinguish between local fishermen and casual outfits,Feng CZ.,2020,Global Ecology and Conservation,Overwinter,Site,China,Asia,multi-species,Calidris alpina,Waders,No,Disturbance type,Recreational,Walking,Behavioural,FID,NA,NA,26.2 (<U+00B1> 5.4) vs. 10.3 (<U+00B1> 2.9),"The paper tested habituation to fishermen/bait diggers by testing flight initiation distances of waders in response to people wearing fishermen outfits vs. people wearing a casual outfit. FID was higher across all 6 wader species when people were wearing the casual outfit, suggesting habituation to fishing/bait-digging activities at the site.",Not sure about the sign of the effect - positive relative to a non-fisherman but still caused disturbance,Yes,,,,,,,,
D016,Liam,Living together: Waterbirds distinguish between local fishermen and casual outfits,Feng CZ.,2020,Global Ecology and Conservation,Overwinter,Site,China,Asia,multi-species,Tringa erythropus,Waders,No,Disturbance type,Recreational,Walking,Behavioural,FID,NA,NA,20.9 (<U+00B1> 4.2) vs (11.4 (<U+00B1> 3.5),"The paper tested habituation to fishermen/bait diggers by testing flight initiation distances of waders in response to people wearing fishermen outfits vs. people wearing a casual outfit. FID was higher across all 6 wader species when people were wearing the casual outfit, suggesting habituation to fishing/bait-digging activities at the site.",Not sure about the sign of the effect - positive relative to a non-fisherman but still caused disturbance,Yes,,,,,,,,
D016,Liam,Living together: Waterbirds distinguish between local fishermen and casual outfits,Feng CZ.,2020,Global Ecology and Conservation,Overwinter,Site,China,Asia,multi-species,Tringa totanus,Waders,No,Disturbance type,Recreational,Walking,Behavioural,FID,NA,NA,19.6 (<U+00B1> 4.1) vs (11.1 <U+00B1> 2.0),"The paper tested habituation to fishermen/bait diggers by testing flight initiation distances of waders in response to people wearing fishermen outfits vs. people wearing a casual outfit. FID was higher across all 6 wader species when people were wearing the casual outfit, suggesting habituation to fishing/bait-digging activities at the site.",Not sure about the sign of the effect - positive relative to a non-fisherman but still caused disturbance,Yes,,,,,,,,
D018,Liam,The importance of artificial wetlands for birds: A case study from Cyprus,"Giosa, E.",2018,PLoS One,Year-round,National,Cyprus,Europe,multi-species,Multiple,Multiple,Yes,Site: Disturbed vs non-disturbed/protected area,Wildfowling,Shooting,Site,Comminity composition,Yes,Negative,NA,"Surveyed birds at wetlands across Cyprus. Calculated species richness and diversity indices for each site across the annual cycle for three years (2009 - 2011). Created a 250m buffer around each wetland and the proportion of hunting reserves in that buffer - refuges where hunting is prohibited. Modelled richness and diversity as a function of hunting reserve cover, depth, size and length of roads within the buffer. Hunting reserve percentage was the second most important explanatory variable for species richness after depth. Relationship between reserves and diversity was also positive but weaker.",Proportion of area covered by hunting reserves is not a direct measure of hunting disturbance frequency/intensity.,Yes,,,,,,,,
D024,Liam,"Evaluation of unmanned aerial vehicle shape, flight path and camera type for waterfowl surveys: disturbance effects and species recognition","McEvoy, JF.",2016,PeerJ,Overwinter,Regional,Australia,Australasia,multi-species,Multiple,Multiple,No,NA,Recreational,UAVs,Behavioural,Movement,NA,NA,NA,"Evaluated the disturbance impacts of various models of fixed-winged UAVs on mixed-species (Coots, Ducks, Swans) waterfowl flocks at two wetland sites in NSW. They flew transects at various altitudes above flocks and solitary birds and recorded vigilance and flight responses. Disturbance levels were generally minimal. Flight responses were rare and typicaly encountered when the UAV was launched directly at flocks at low altitude (10-15m) during take-off. Little to no disturbance effects were observed when UAVs were flown at least 60m (fixed-wing) or 40m (multirotor) above the birds. Disturbance responses in terms of vigilance and avoidance was observed below these altitudes and when fixed-wing UAVs approached directly or rapidly changed altitude and/or direction near animals.",Useful background but not entirely sure this is testing a direct disturbanc effect. Hard to quantify this as negative/neutral/positive.,Yes,,,,,,,,
D027,Liam,"Climate, trophic interactions, density dependence and carry-over effects on the population productivity of a migratory Arctic herbivorous bird","Morrissette, M.",2010,Oikos,Breeding (carry-over),Regional,Canada,North America,single-species,Anser carulescens,Geese,Yes,Shooting vs non-shootting,Wildfowling,Shooting,Demographic,Productivity (carry-over),Yes,Negative,NA,"Analysed productivity of the greater snow goose population, determined by flock age ratios collected in autumn between 1976 and 2006, to assess the effects of various parameters including the carry-over effects of a spring hunt in Quebec which occurred from 1996 - 2006. Spring hunting at the main goos estaging site led to a 7% reduction in producitivity and disturbance was retained in the most parsimonious model however this did not have an overall demographic effect as the population continued to increase strongly throughout the study period.",Disturbance may be responsible for declines in productivity but it could also be due to mate loss from direct mortality. Does the productivity decline matter if there was no effect on population trajectory?,Yes,,,,,,,,
D030,Liam,Disturbance of Waterfowl by Boaters on Pool 4 of the Upper Mississippi River National Wildlife and Fish Refuge,"Rasmussen, H.",2010,Society & Natural Resources,Overwinter,Site,USA,North America,multi-species,Multiple,Multiple,Yes,Site: Disturbed vs non-disturbed/protected area,Recreational,Boating,Behavioural,Movement,Yes,Negative,NA,"Visibly recorded disturbance events on two lakes in the Upper Mississippi NWR one closed to hunting and one open to hunting. The level of disturbance, (no disturbance, <1000 birds, >1000 birds), the duration of each disturbance, the species and number of birds disturbed and the bird reaction to disturbance (parted, circled or moved) was recorded for each boating incident. Disturbances caused by boating were more frequent on the open lake (5.23 incidents resulting in 3.85 disturbances) than the closed site (2.25 incidents resulting in 1.5 disturbances). At the open lake, hunting boats caused the highest percentage of major and minor disturbances. At the closed lake, hunting boats caused no disturbances and fishing and pleasure boats caused the highest proportion of minor disturbances (no major disturbances recorded). Disturbance varied with species. Coots and diving ducks reacted most calmly (parted in 70% of disturbances), when they flew they usually left (27%) rather than circling (3%). Canvasbacks (Aythya valisineria) were most sensitive to disturbance - circled (60%), left (36%), parted (4%).",Study just describes level of boating disturbance at two sites. Not really testing for an effect directly. Anecdotally suggests birds more disturbance prone where they are actively hunted.,Yes,,,,,,,,
D035,Liam,A Bayesian optimal escape model reveals bird species differ in their capacity to habituate to humans,"Sutton, NM.",2021,Behavioural Ecology,Year-round,Regional,Australia,Australasia,multi-species,Cygnus alralus,Swan,No,Site: Disturbed vs non-disturbed/protected area,Recreational,Walking,Behavioural,FID,NA,NA,NA,"Measured alert distances and FIDs for 5 waterbird species at urban parks across a gradient of human disturbance. Number of people per hour visiting the sites recorded during data collection and sites assigned as low, medium and high disturbance based on quartiles of the distribution. Used a Bayesian Optimality model to infer the distribution of prior estimates of risk for each waterbird species and level of human disturbance. Mean and relative differences between inferred prior distributions at different levels of risk were used to quantify a species' overall sensitivity to disturbance. In general, populations in low activity sites had higher mean priors (perceived risk of attact from an approaching human) and FIDs, and lower mean priors and FIDs in high activity sites. Black Swan had the biggest difference in mean priors (risk perception) across activity levels. This suggests it changed the most in it's perceived risk level - greatest level of habituation.",Study focuses on habituation effects/disturbance sensitivty - hard to characterise as negative/neutral/positive,Yes,,,,,,,,
D035,Liam,A Bayesian optimal escape model reveals bird species differ in their capacity to habituate to humans,"Sutton, NM.",2021,Behavioural Ecology,Year-round,Regional,Australia,Australasia,multi-species,Gallinula tenebrosa,Rails,No,Site: Disturbed vs non-disturbed/protected area,Recreational,Walking,Behavioural,FID,NA,NA,NA,Dusky moorhen showed an increase in the effec size of human activity as activity level increased indicated by a the small low-mid difference compared with the much larger mid-high difference.,Study focuses on habituation effects/disturbance sensitivty - hard to characterise as negative/neutral/positive,Yes,,,,,,,,
D035,Liam,A Bayesian optimal escape model reveals bird species differ in their capacity to habituate to humans,"Sutton, NM.",2021,Behavioural Ecology,Year-round,Regional,Australia,Australasia,multi-species,Fulica atra,Rails,No,Site: Disturbed vs non-disturbed/protected area,Recreational,Walking,Behavioural,FID,NA,NA,NA,Eurasian coot howed similar relative differences in prior distributions for low-mid and mid-high comparisons suggesting a consistent effect size of human activity on risk assessment as activity level increases.,Study focuses on habituation effects/disturbance sensitivty - hard to characterise as negative/neutral/positive,Yes,,,,,,,,
D035,Liam,A Bayesian optimal escape model reveals bird species differ in their capacity to habituate to humans,"Sutton, NM.",2021,Behavioural Ecology,Year-round,Regional,Australia,Australasia,multi-species,Anas superciliosa,Duck,No,Site: Disturbed vs non-disturbed/protected area,Recreational,Walking,Behavioural,FID,NA,NA,NA,Pacific black duck had higher low-mid relative differences than mid-high relative differences. This suggests that the effect of human activity decreases for this species as activity level increases - sensitive to initial increases in human activity but becomes much less sensitive over a certain threshold.,Study focuses on habituation effects/disturbance sensitivty - hard to characterise as negative/neutral/positive,Yes,,,,,,,,
D035,Liam,A Bayesian optimal escape model reveals bird species differ in their capacity to habituate to humans,"Sutton, NM.",2021,Behavioural Ecology,Year-round,Regional,Australia,Australasia,multi-species,Porphyrio melantous,Rails,No,Site: Disturbed vs non-disturbed/protected area,Recreational,Walking,Behavioural,FID,NA,NA,NA,Australasian swamphen showed similar relative differences in prior distributions for low-mid and mid-high comparisons suggesting a consistent effect size of human activity on risk assessment as activity level increases.,Study focuses on habituation effects/disturbance sensitivty - hard to characterise as negative/neutral/positive,Yes,,,,,,,,
D036,Liam,Assessing the impacts of bait collection on inter-tidal sediment and the associated macrofaunal and bird communities: The importance of appropriate spatial scales,"Watson, GJ.",2017,Marine Environmental Research,Overwinter,Site,UK,Europe,multi-species,Multiple,Waders,No,NA,Recreational,Bait digging,Site,Local abundance,Yes,Negative,NA,"Examined the effects of bait-digging on macrofauna communities and wader abundance in Fareham Creek. Used video recordings of dug areas to assess number of birds and activity of bait diggers. There was a significant negative correlation between number of bait collectors per time point and waders for one of the size camera views (Dell quay 1). Wader species recorded were Redshank, Dunlin, Curlew, Oystercatcher, Grey Plover and Dunlin but analysis was not performed for individual species.",Weak evidence of disturbance sensitivity in waders.,Yes,,,,,,,,
D036,Liam,Assessing the impacts of bait collection on inter-tidal sediment and the associated macrofaunal and bird communities: The importance of appropriate spatial scales,"Watson, GJ.",2017,Marine Environmental Research,Overwinter,Site,UK,Europe,multi-species,Multiple,Multiple,No,NA,Recreational,Bait digging,Site,Local abundance,No,Neutral,NA,There was no significant correlation between numbers of wildfowl and bait diggers for any of the camera views. This may be partially due to habituation at this disturbed urban site.,Wildfowl were lumped into a single category for analysis and were not identified to species level.,Yes,,,,,,,,
D038,Liam,An approach to assess the potential impacts of human disturbance on wintering tropical shorebird,"Yasue, M.",2008,Oryx,Overwinter,Site,Thailand,Asia,multi-species,Multiple,Waders,No,Site: Disturbed vs non-disturbed/protected area,Recreational,Index,Behavioural,TAB,Yes,NA,NA,"Examined the effect of disturbance on the abundance and behaviour of waders at five sites within Khao Sam Roi Yod NP, Thailand. Sites censused using a spotting scope, number and behaviour (feeding/roosting) of waders counted. Also counted the number of people and dogs at a site. Conducted disturbance watches - measured natural and human (people, livestock, dogs, loudspeakers, vehicles) for 30-180 mins and counted number and behaviour of birds at the start and during the watch if the composition changed. Estimated time taken for 90% of the flock to resume feeding at each site. Also recorded prey abundance and energetic values at each site. Also calculated prey ingestion rates from observations of feeding birds. Intake rates for curlews and malaysian plovers but not kentish and lesser sand plovers varied between sites but were not related directly to human disturbance levels and may also have been due to prey densities. Time spent responsing to disturbance was greatest at SPB - busiest site with the largest number of tourists. Suggest negative influence of disturbance on TABs.",Negative effect but linked to sites which vary in disturbance levels - indirect?,Yes,,,,,,,,
D038,Liam,An approach to assess the potential impacts of human disturbance on wintering tropical shorebird,"Yasue, M.",2008,Oryx,Overwinter,Site,Thailand,Asia,multi-species,Multiple,Waders,No,NA,Recreational,Index,Site,Local abundance,No,Neutral,NA,At one site - assessed whether people caused temporary changes in wader behaviour. First related total number of people and dogs to wader presence/absence. Disturbance rates varied between sites.Number of people and dogs at SPB had no effect on whether there were high or low numbers of feeding waders.,NA,Yes,,,,,,,,
D038,Liam,An approach to assess the potential impacts of human disturbance on wintering tropical shorebird,"Yasue, M.",2008,Oryx,Overwinter,Site,Thailand,Asia,multi-species,Numenius arquata,Waders,No,NA,Recreational,Index,Behavioural,Feeding,Yes,Negative,NA,Tested whether number of people and dogs influenced Eurasian Curlew intake rates. Intake rates were negatively correlated with number of humans and dogs present at the site.,NA,Yes,,,,,,,,
D039,Liam,"The Influence of Food Density, Flock Size, and Disturbance on the Functional Response of Bewick's Swans (Cygnus columbianus bewickii) in Wintering Habitats","Yu, C.",2019,Animals,Overwinter,Regional,China,Asia,single-species,Cyngnus columbianus bewickii,Swan,No,NA,Recreational,Walking,Behavioural,Feeding,Yes,Negative,NA,"Look at the effect of food density, flock size and disturbance on the feeding rates of overwintering Bewick's Swans at two lakes in China. Feeding rate negatively correlated with disturbance time. Feeding rate was influenced by the combined effects of searching rate and handling time. Handling time increased with disturbance whilst searching rate was negatively correlated with disturbance time. Disturbance recorded as the time duration of walkers and cyclists seen by the swans in the foraging sites.",Index of disturbance combining cycling and walking.,Yes,,,,,,,,
D039,Liam,"The Influence of Food Density, Flock Size, and Disturbance on the Functional Response of Bewick's Swans (Cygnus columbianus bewickii) in Wintering Habitats","Yu, C.",2019,Animals,Overwinter,Regional,China,Asia,single-species,Cyngnus columbianus bewickii,Swan,No,NA,Recreational,Cycling,Behavioural,Feeding,No,Neutral,NA,"Look at the effect of food density, flock size and disturbance on the feeding rates measured from focal videos of overwintering Bewick's Swans at two lakes in China. Feeding rate negatively correlated with disturbance time. Feeding rate was influenced by the combined effects of searching rate and handling time. Handling time increased with disturbance whilst searching rate was negatively correlated with disturbance time. Disturbance recorded as the time duration of walkers and cyclists seen by the swans in the foraging sites.",Index of disturbance combining cycling and walking.,Yes,,,,,,,,
D041,Luke,An evaluation of the level of human disturbance to waterbirds at Mole National Park in Ghana,"Aikins, TK.",2018,Wetlands Ecology and Management,Overwinter,Site,Ghana,Africa,multi-species,Burhinus senegalensis,Waders,No,NA,Recreational,Walking,Behavioural,Vigilance,No,Neutral,NA,Observer walked at waterbird and recorded distance that the individual first become vigilant. They just measured FID and didn<U+0092>t look at how disturbance type or hunting/scaring influenced FID.,NA,Yes,,,,,,,,
D041,Luke,An evaluation of the level of human disturbance to waterbirds at Mole National Park in Ghana,"Aikins, TK.",2018,Wetlands Ecology and Management,Overwinter,Site,Ghana,Africa,multi-species,Actophilornis africanus,Waders,No,NA,Recreational,Walking,Behavioural,Vigilance,No,Neutral,NA,Observer walked at waterbird and recorded distance that the individual first become vigilant. They just measured FID and didn<U+0092>t look at how disturbance type or hunting/scaring influenced FID.,NA,Yes,,,,,,,,
D041,Luke,An evaluation of the level of human disturbance to waterbirds at Mole National Park in Ghana,"Aikins, TK.",2018,Wetlands Ecology and Management,Overwinter,Site,Ghana,Africa,multi-species,Dendrocygna viduata,Duck,No,NA,Recreational,Walking,Behavioural,Vigilance,No,Neutral,NA,Observer walked at waterbird and recorded distance that the individual first become vigilant. They just measured FID and didn<U+0092>t look at how disturbance type or hunting/scaring influenced FID.,NA,Yes,,,,,,,,
D041,Luke,An evaluation of the level of human disturbance to waterbirds at Mole National Park in Ghana,"Aikins, TK.",2018,Wetlands Ecology and Management,Overwinter,Site,Ghana,Africa,multi-species,Burhinus senegalensis,Waders,No,NA,Recreational,Walking,Behavioural,FID,NA,NA,45.4,Observer walked at waterbird and recorded distance that the individual first took flight. They just measured FID and didn<U+0092>t look at how disturbance type or hunting/scaring influenced FID. Standard deviation of FIDs in Table 4,NA,Yes,,,,,,,,
D041,Luke,An evaluation of the level of human disturbance to waterbirds at Mole National Park in Ghana,"Aikins, TK.",2018,Wetlands Ecology and Management,Overwinter,Site,Ghana,Africa,multi-species,Actophilornis africanus,Waders,No,NA,Recreational,Walking,Behavioural,FID,NA,NA,43.6,Observer walked at waterbird and recorded distance that the individual first took flight. They just measured FID and didn<U+0092>t look at how disturbance type or hunting/scaring influenced FID. Standard deviation of FIDs in Table 4,NA,Yes,,,,,,,,
D041,Luke,An evaluation of the level of human disturbance to waterbirds at Mole National Park in Ghana,"Aikins, TK.",2018,Wetlands Ecology and Management,Overwinter,Site,Ghana,Africa,multi-species,Scopus umbretta,Crane,No,NA,Recreational,Walking,Behavioural,FID,NA,NA,49.7,Observer walked at waterbird and recorded distance that the individual first took flight. They just measured FID and didn<U+0092>t look at how disturbance type or hunting/scaring influenced FID. Standard deviation of FIDs in Table 4,NA,Yes,,,,,,,,
D041,Luke,An evaluation of the level of human disturbance to waterbirds at Mole National Park in Ghana,"Aikins, TK.",2018,Wetlands Ecology and Management,Overwinter,Site,Ghana,Africa,multi-species,Dendrocygna viduata,Duck,No,NA,Recreational,Walking,Behavioural,FID,NA,NA,48.1,Observer walked at waterbird and recorded distance that the individual first took flight. They just measured FID and didn<U+0092>t look at how disturbance type or hunting/scaring influenced FID. Standard deviation of FIDs in Table 4,NA,Yes,,,,,,,,
