Paper_ID,Assigned to,Title,Lead author,Year,Journal,Time of year,Spatial_scale,Country,Continent,Taxonomic scope,Species,Taxonomic_group,Quarry Species,Offtake_type,Hunting regime,Population_Model,Comparison,Demographic_impact,Demographic_data_used,Harvest_data_used,Hunting_characteristics,Hunting_Bias,Effect,Synopsis,Carry-over,Discussion_Cat,Effect_Synopsis,Demographic_Direction,Bias_Direction,Hunter_skill,Skill_consequence,Notes,Paper_Retained
M007,Aim<e9>e,Conservation implications of misidentification and killing of protected species,"Newth, JL.",2019,Conservation Science and Practice,NA,National,Russia,Europe,multi-species,Cygnus columbianus bewickii,Swan,No,illegal shooting,illegal,NA,NA,NA,NA,NA,NA,NA,NA,"poor ID accuracy 14%, 15% admit accidentally shooting proteccted",No,Skill,Yes,NA,NA,species ID,wrong species,NA,Yes
M007,Aim<e9>e,Conservation implications of misidentification and killing of protected species,"Newth, JL.",2019,Conservation Science and Practice,NA,National,Russia,Europe,multi-species,Cygnus cygnus,Swan,Yes,Direct harvest,recreational hunting,NA,NA,NA,NA,NA,NA,NA,NA,poor ID accuracy 14%,No,Skill,Yes,NA,NA,species ID,wrong species,NA,Yes
M007,Aim<e9>e,Conservation implications of misidentification and killing of protected species,"Newth, JL.",2019,Conservation Science and Practice,NA,National,Russia,Europe,multi-species,Cygnus olor,Swan,Yes,Direct harvest,recreational hunting,NA,NA,NA,NA,NA,NA,NA,NA,poor ID accuracy 12%,No,Skill,Yes,NA,NA,species ID,wrong species,NA,Yes
M008,Aim<e9>e,Accuracy of Aging Ducks in the US Fish and Wildlife Service Waterfowl Parts Collection Survey,"Pearse, AT.",2014,Wildlife Society Bulletin,NA,National,USA,North America,multi-species,Anas platyrhynchos,Duck,Yes,Direct harvest,recreational hunting,NA,NA,NA,NA,NA,Shoot time,Age bias,Bias,"adult ID better later in season, juv ID better earlier in season (94% vs 98%), little difference in sex specific ID",No,Skill,Yes,NA,juv early adult late,species ID,NA,NA,Yes
M008,Aim<e9>e,Accuracy of Aging Ducks in the US Fish and Wildlife Service Waterfowl Parts Collection Survey,"Pearse, AT.",2014,Wildlife Society Bulletin,NA,National,USA,North America,multi-species,Aix sponsa,Duck,Yes,Direct harvest,recreational hunting,NA,NA,NA,NA,NA,Shoot time,Age bias,Bias,juvenile male ID better when harvested early in season (98%) than later (66%),No,Skill,Yes,NA,juv male early,species ID,NA,NA,Yes
M008,Aim<e9>e,Accuracy of Aging Ducks in the US Fish and Wildlife Service Waterfowl Parts Collection Survey,"Pearse, AT.",2014,Wildlife Society Bulletin,NA,National,USA,North America,multi-species,Anas discors,Duck,Yes,Direct harvest,recreational hunting,NA,NA,NA,NA,NA,Shoot time,Age bias,Bias,"juvenile ID bettter early 97% vs 60%, male ID better than female, ID about 82-84%",No,Skill,Yes,NA,"juv early, male",species ID,NA,NA,Yes
M010,Aim<e9>e,In-hand duck identification by hunters at Mississippi-flyway public hunting areas,"Wilson, BC.",1995,Wildlife Society Bulletin,NA,Regional,USA,North America,multi-species,Generic ducck ID,Duck,Yes,Direct harvest,recreational hunting,NA,Regional,NA,NA,NA,NA,NA,NA,"groups better ID than single hunter, high abundance in bag increases ID success, more common at sites = better ID accuracy, hunter experience improve hunter ID accuracy",No,Skill,Yes,NA,"Common, experience",species ID,NA,NA,Yes
M011,Aim<e9>e,"Subpopulation contributions to a breeding metapopulation of migratory arctic herbivores: survival, fecundity and asymmetric dispersal","Alisauskas, RT.",2022,Ecography,NA,National,Canada,North America,single-species,Anser caerulescens caerulescens,Geese,Yes,Direct harvest,recreational hunting,Yes,Annual,Survival,CMR,banded recovery,NA,Age bias,Neutral,"mean survival similar for all regions <U+00B1>90% and 0.25% juveniles in all regions, declining abundance  each year for all subpopulations, survival increased despite relaxed hunting effort, low harvest probabilities all pops, immature survival positively associate wwith harvest rate",No,Surv,No,None,Adult,NA,NA,NA,Yes
M011,Aim<e9>e,"Subpopulation contributions to a breeding metapopulation of migratory arctic herbivores: survival, fecundity and asymmetric dispersal","Alisauskas, RT.",2022,Ecography,NA,National,Canada,North America,single-species,Anser caerulescens caerulescens,Geese,Yes,Direct harvest,recreational hunting,Yes,Annual,Abundance,CMR,Harvest rate,NA,NA,Neutral,"mean survival similar for all regions <U+00B1>90% and 0.25% juveniles in all regions, declining abundance  each year for all subpopulations, survival increased despite relaxed hunting effort, low harvest probabilities all pops, immature survival positively associate wwith harvest rate",No,DD,Yes,Positive,Juv,NA,NA,NA,Yes
M012,Aim<e9>e,"Neckbands, harvest, and survival of Ross's geese from Canada's Central Arctic","Alisauskas, RT.",2006,Journal of Wildlife Management,NA,Flyway,Canada/USA,North America,single-species,Chen rossii,Geese,Yes,Direct harvest,recreational hunting,Yes,Annual,Survival,CMR,banded recovery,Bag limits,NA,Negative,"annual differences in adult vs juvenile recovieries (not really a trend), annual survival of adults negatively related to harvest of adults, did not appear to significantly impact juvenile survial rate, adult survival 0.91 pre 1994, dec;ime to 0.80 1998-2000 hunting season, neck bands associated with reduced survival",No,Surv,Yes,Negative,Adult,NA,NA,NA,Yes
M013,Aim<e9>e,"Harvest, Survival, and Abundance of Midcontinent Lesser Snow Geese Relative to Population Reduction Efforts","Alisauskas, RT.",2011,Widlife Monographs,Migration,Flyway,Canada,North America,single-species,Chen caerulescens caerulescens,Geese,Yes,Direct harvest,recreational hunting,Yes,Season: Shooting vs non-shooting,Survival,CMR,Harvest rate,Bag limits,NA,Negative,"high survival rates associated with low harvest rates 2-3%, low harvest rates nad and low bag totals contribute to hihg abundance, underestimate of abundance in past attributed to likely failure of huntin geffor to reduce popilation",No,Surv,Yes,Negative,NA,NA,NA,NA,Yes
M013,Aim<e9>e,"Harvest, Survival, and Abundance of Midcontinent Lesser Snow Geese Relative to Population Reduction Efforts","Alisauskas, RT.",2011,Widlife Monographs,Migration,Flyway,Canada,North America,single-species,Chen caerulescens caerulescens,Geese,Yes,Direct harvest,recreational hunting,Yes,Season: Shooting vs non-shooting,Survival,CMR,Harvest rate,Bag limits,NA,Negative,"high survival rates associated with low harvest rates 2-3%, low harvest rates nad and low bag totals contribute to hihg abundance, underestimate of abundance in past attributed to likely failure of huntin geffor to reduce popilation",No,Abun,Yes,Negative,NA,NA,NA,NA,Yes
M013,Aim<e9>e,"Harvest, Survival, and Abundance of Midcontinent Lesser Snow Geese Relative to Population Reduction Efforts","Alisauskas, RT.",2011,Widlife Monographs,Migration,Flyway,Canada,North America,single-species,Chen caerulescens caerulescens,Geese,Yes,Direct harvest,recreational hunting,Yes,Season: Shooting vs non-shooting,Abundance,CMR,Bag total,Shoot time,NA,Neutral,comparing regular shooting season with conservation order shooting season,No,Abun,No,None,NA,NA,NA,NA,Yes
M014,Aim<e9>e,Temporal Variation in Survival and Recovery Rates of Lesser Scaup,Arnold TW.,2016,Journal of Wildlife Management,NA,Flyway,USA/Canada/Mexico,North America,single-species,Aythya affinis,Duck,Yes,Direct harvest,recreational hunting,Yes,Annual,Survival,CMR,banded recovery,NA,Age bias,Neutral,"juveniles more vulnerable to harvest than adults (2.56 for males and 2.20 for females), harvest rate did not appear to show decline in survival, fecundity primarily driving pop decline",No,VU,Yes,None,Juv,NA,NA,NA,Yes
M014,Aim<e9>e,Temporal Variation in Survival and Recovery Rates of Lesser Scaup,Arnold TW.,2016,Journal of Wildlife Management,NA,Flyway,USA/Canada/Mexico,North America,single-species,Aythya affinis,Duck,Yes,Direct harvest,recreational hunting,Yes,Annual,Survival,CMR,banded recovery,NA,Age bias,Neutral,"juveniles more vulnerable to harvest than adults (2.56 for males and 2.20 for females), harvest rate did not appear to show decline in survival, fecundity primarily driving pop decline",No,Surv,Yes,None,Juv,NA,NA,NA,Yes
M014,Aim<e9>e,Temporal Variation in Survival and Recovery Rates of Lesser Scaup,Arnold TW.,2016,Journal of Wildlife Management,NA,Flyway,USA/Canada/Mexico,North America,single-species,Aythya affinis,Duck,Yes,Direct harvest,recreational hunting,Yes,Annual,NA,NA,Harvest rate,NA,Sex bias,Neutral,"juveniles more vulnerable to harvest than adults (2.56 for males and 2.20 for females), harvest rate did not appear to show decline in survival, fecundity primarily driving pop decline",No,VU,Yes,NA,Male,NA,NA,NA,Yes
M017,Chocolate,Hunting impact on waders in Spain: effects of species protection measures,"Barbosa, A.",2001,Biodiversity and Conservation,NA,National,Spain,Europe,multi-species,"Multiple unprotected species (e.g. Gallinago gallinago, Scolopax rusticola, Vanellus vanellus)",Waders,Yes,Direct harvest,NA,No,NA,NA,NA,Harvest rate,NA,NA,Positive,"Chi sq test for hunting index (calculated from hunted birds and found dead birds) between protected and unprotected sp. Hunting index of all sp 77.1%, protected sp 66.8%, unprotected sp 82.6%, chi sq  = 20.72, p < 0.001. Sp with legal sp changed hunting index before protection 72.7%, after protection 44.5%, chi sq = 5.31, p < 0.05. Whether hunter false reportof hunting vs found dead is checked by lack of inverse correlation between hunted and found dead birds.",No,Dat,Yes,NA,data accuracy,NA,NA,Testing the effect of species protection on hunting mortality - not sure if relevant?,Yes
M017,Chocolate,Hunting impact on waders in Spain: effects of species protection measures,"Barbosa, A.",2001,Biodiversity and Conservation,NA,National,Spain,Europe,multi-species,"Multiple protected species (e.g. Actitis hypoleucos, Haematopus ostralegus, Tringa nebularia)",Waders,Yes,Direct harvest,NA,No,NA,NA,NA,Harvest rate,NA,NA,Negative,NA,No,Dat,Yes,NA,data accuracy,NA,NA,NA,Yes
M017,Chocolate,Hunting impact on waders in Spain: effects of species protection measures,"Barbosa, A.",2001,Biodiversity and Conservation,NA,National,Spain,Europe,multi-species,"3 species with protection status changed within the study period (Numenius arquata, Pluvialis apricaria, Tringa nebularia)",Waders,Yes,Direct harvest,NA,No,NA,NA,NA,Harvest rate,NA,NA,Negative,NA,No,Dat,Yes,NA,data accuracy,NA,NA,NA,Yes
M018,Chocolate,Nonresponse bias in New Zealand waterfowl harvest surveys,Barker RJ.,1991,Journal of Wildlife Management,NA,National,New Zealand,Australasia,single-species,Anas platyrhynchos,Duck,Yes,Direct harvest,NA,No,NA,NA,NA,Bag total,NA,NA,NA,"Questionaire sent to hunters for reporting bag total. Telephone attempts were made to contact hunters who did not respond to mail questionaire for hunting effort and bag total. Questionaire: mallard harvest year 1987 mean 5.71, SE 1.10, year 1988 mean 13.57, SE 0.99. Telephone yaer 1987 mean 12.23 SE 1.12, year 1988 mean 9.46, SE 0.99. Weighted mean year 1987 13.29, SE 0.85, year 1988 11.20, SE 0.75. non response by questionaire bias bias mean 1.18 SE 0.05, year 1988 mean 1.21, SE 0.05. Respondents hunt more and has higher hunting effort (in hours) compared to non respondents.",No,Hest,Yes,NA,estimates higher for survey respondents,bag response,harvest inaccuracy,NA,Yes
M019,Chocolate,Estimating adult survival rates of New Zealand black swans banded as immatures,Barker RJ.,1993,Journal of Wildlife Management,NA,National,New Zealand,Australasia,single-species,Cygnus attratus,Swan,Yes,Direct harvest,recreational hunting,Yes,Annual,NA,CMR,Banded recovery,all/combination,NA,Negative,"Band recovery = dead birds. Model on immature recovery (ringed as juv and shot in the same year). Then adult sruvival rate is estimated from that plus other parameters. So the direct response variable is immature recovery. Model results: response variable: immature recover rate. predictor variables: season length -0.2092,  SE 1.1101, bag limit -0.5419, SE 0.5557, license sales -2.3150, SE 0.6884, season length*bag limit -0.0283, SE 0.0068, season*licences 0.0723, SE 0.0270, bag limit*licences 0.3007, SE 0.1125, three way interaction: omitted as the omission did not lead to poor model fit t X2, = 2.43, P = 0.12. Annual recovery rates of immature black swans were negatively associated with number of licenses sold, bag limits and the length of the hunting season.",No,Surv,Yes,Negative,"season length, bag limits",NA,NA,NA,Yes
M020,Chocolate,Effect of hunting on annual survival of gray ducks in New Zealand,Barker RJ.,1991,Journal of Wildlife Management,NA,National,New Zealand,Australasia,single-species,Anas superciliosa,Duck,Yes,Direct harvest,NA,Yes,NA,Survival,CMR,Banded recovery,NA,NA,NA,"Band recovery = dead birds. Testing whether hunting mortality is additive to natural mortality and whether hunting moretality is compensated (due to survivors breeding in lower competition), does not directly estimate impact of hunting on pop demography",No,Surv,Yes,Negative,NA,NA,NA,Results suggest hunting mortality is at least partially additive in this population.,Yes
M021,Chocolate,"Northern Pintail (Anas acuta) survival, recovery, and harvest rates derived from 55 years of banding in Prairie Canada, 1960-2014","Bartzen, BA.",2017,Avian Conservation and Ecology,NA,National,Canada,North America,single-species,Anas acuta,Duck,Yes,Direct harvest,NA,Yes,Annual,Survival,CMR,Banded recovery,Bag limits,NA,Neutral,"Examined survival of pintails in Prarie Canada using CMR data over several decades. Found that recovery and harvest rates varied over time. Estimated recovery. Not stat sig but recovery rate generally increased when hunting restrictions are in place.Not stat sig but recovery rate generally increased when hunting restrictions are in place. Found no effect of bag limits on annual survival, harvest or recovery rates and no compelling evidence that harvest mortality was additive.",No,Surv,No,None,NA,NA,NA,Seems to be no demographic effect of hunting,Yes
M021,Chocolate,"Northern Pintail (Anas acuta) survival, recovery, and harvest rates derived from 55 years of banding in Prairie Canada, 1960-2014","Bartzen, BA.",2017,Avian Conservation and Ecology,NA,National,Canada,North America,single-species,Anas acuta,Duck,Yes,Direct harvest,NA,Yes,Annual,NA,CMR,Banded recovery,NA,Age bias,Bias,"Reccovery probaility lower for adults. Averaged 0.015 for adult females, 0.022 for adult males, 0.033 for hatch-year females, and 0.047 for hatchyear males.",No,VU,Yes,None,recovery rates of juveniles higher than adults,NA,NA,NA,Yes
M021,Chocolate,"Northern Pintail (Anas acuta) survival, recovery, and harvest rates derived from 55 years of banding in Prairie Canada, 1960-2014","Bartzen, BA.",2017,Avian Conservation and Ecology,NA,National,Canada,North America,single-species,Anas acuta,Duck,Yes,Direct harvest,NA,Yes,Annual,NA,CMR,Banded recovery,NA,Sex bias,Bias,Reccovery probaility lower for females.,No,VU,Yes,None,recovery rates of males higher than females,NA,NA,Inverse true for survival - suggests non-hunting mortality important.,Yes
M022,Chocolate,Survival rates of female mallards wintering in the Playa Lakes region,"Bergan, JF.",1993,Journal of Wildlife Management,NA,Regional,USA,North America,single-species,Anas platyrhynchos,Duck,Yes,Direct harvest,NA,Yes,NA,Survival,CMR,NA,NA,NA,Neutral,"Radio transmitter tracking. Female only. Only 2 confirmed hunting motality, Survival only considering hunting 0.982, SE 0.05, survivial only considering natural cause 0.790, SE 0.07. Overall hunting mortality did not seem to influence overwinter survival in this populaton. Birds with higher body condition had higher survival rates but not related to hunting mortality.",No,Surv,No,None,NA,NA,NA,NA,Yes
M023,Chocolate,Survival of Atlantic Flyway Resident Population Canada Geese in New Jersey,Beston JA.,2014,Journal of Wildlife Management,NA,Regional,USA,North America,single-species,Branta canadensis,Geese,Yes,Direct harvest,NA,Yes,Regional,NA,CMR,Banded recovery,NA,NA,Negative,"Estimated average harvest rate: urban hatch year 2.2%, CI 1.4-3.1%, urban after hatch year 3.8%, CI 3.4-4.2%, rural hatch year 9.7%, CI 7.7-11.7%, after hatch year 7.8%, CI 6.7-9.0%, harvest rate increased over time in all groups other than urban hatch year. Compared survival; and harvest rates of urban  and rural banded Canada Geese. Survival lower and harvest rates higher for rural banded geese. Age bias towards increased juvenile harvest in rural birds, opposite for uirban birds.",No,Surv,Yes,Negative,NA,NA,NA,NA,Yes
M023,Chocolate,Survival of Atlantic Flyway Resident Population Canada Geese in New Jersey,Beston JA.,2014,Journal of Wildlife Management,NA,Regional,USA,North America,single-species,Branta canadensis,Geese,Yes,Direct harvest,NA,Yes,Regional,NA,CMR,Banded recovery,NA,Age bias,Bias,"Estimated average harvest rate: urban hatch year 2.2%, CI 1.4-3.1%, urban after hatch year 3.8%, CI 3.4-4.2%, rural hatch year 9.7%, CI 7.7-11.7%, after hatch year 7.8%, CI 6.7-9.0%, harvest rate increased over time in all groups other than urban hatch year. Compared survival; and harvest rates of urban  and rural banded Canada Geese. Survival lower and harvest rates higher for rural banded geese. Age bias towards increased juvenile harvest in rural birds, opposite for uirban birds.",No,HR,Yes,Negative,juveniles in rural areas,NA,NA,NA,Yes
M024,Chocolate,Survival and Harvest of Atlantic Flyway Resident Population Canada Geese,Beston JA.,2015,Wildlife Society Bulletin,NA,Regional,USA,North America,single-species,Branta canadensis,Geese,Yes,Direct harvest,NA,Yes,Regional,NA,CMR,Banded recovery,NA,NA,NA,"Estimated survival, recovery and harvest rates of adult and juvenile geese in the Atlantic Flyway. Harvest and survival rates varied between states. Estimates of juvenile survival generally higher than for adult geese but no differences in harvest rates. Recovery = dead bird. 58-99% of recovery at the same state as banding. 0-4% recovered out of the Atlantic Flyway. States in the noth have greater proportion of recovery elsewhere. Survival and harnest rate of each state is also presented in the results. Harvest rate is estimated but is not modelled for survival.",No,HR,Yes,None,NA,NA,NA,NA,Yes
M025,Chocolate,Survival and cause-specific mortality of adult female mottled ducks in east-central Florida,Bielefeld RR.,2006,Wildlife Society Bulletin,NA,Regional,USA,North America,single-species,Anas fulvigula,Duck,Yes,Direct harvest,NA,Yes,NA,NA,CMR,NA,NA,NA,Negative,"Florida. Radio telemetry. Only females. Hunting is one of the principal mortality factos. 34 mortality over 101 ducks over 3 yeears. 5 hunted in total, contributing to a mortality rate of 0.048 overall. Mortality rates higher in postbreeding period than hunting period however",No,Mort,Yes,Negative,NA,NA,NA,Just shows that hunting a significant source of mortality - but post-breeding mortality risk higher.,Yes
M027,Chocolate,Annual Survival and Seasonal Hunting Mortality of Midcontinent Snow Geese,"Calvert, AM.",2017,Journal of Wildlife Management,NA,National,USA and Canada,North America,single-species,Chen caerulescens caerulescens,Geese,Yes,Direct harvest,NA,Yes,Season: Shooting vs non-shooting,NA,CMR,Banded recovery,NA,NA,Negative,"Recovery = dead birds. Kill rates estimated.Kill rates divided by (1) hatch year and after hatcch year, (2) season, winter, spring or autumn, (3) location, north, south. Leading to 12 kill rate data in the paper.  Winter kill rate higher than spring and autumn. Winter kill rate decrease over time and is higher that after hatch year birds thatn hatch year birds. Kill rate hight at the south than the north population. No further stats done on them. Hunting mortality samll compared to natural mortality in general.",No,HR,Yes,None,location differences,NA,NA,"Harvest rates higher in winter than during spring or fall migration,hunting mortality rates low compared to natural mortality.",Yes
M027,Chocolate,Annual Survival and Seasonal Hunting Mortality of Midcontinent Snow Geese,"Calvert, AM.",2017,Journal of Wildlife Management,NA,National,USA and Canada,North America,single-species,Chen caerulescens caerulescens,Geese,Yes,Direct harvest,NA,Yes,NA,NA,CMR,Banded recovery,NA,Age bias,Bias,NA,No,VU,Yes,None,juvenile harvest rates higher,NA,NA,Natural mortality also higher - hunting mortality may be compensatory,Yes
M028,Chocolate,Effects of exceptional conservation measures on survival and seasonal hunting mortality in greater snow geese,"Calvert, AM.",2005,Journal of Applied Ecology,NA,National,USA,North America,single-species,Anser caerulescens atlantica,Geese,Yes,Direct harvest,NA,Yes,NA,Survival,CMR,Banded recovery,all/combination,NA,Negative,"Recovery = dead bird. Harvest rate is used to convert recovery rates into kill rates. Comparison made between before hunting scheme change start and after. So it is before vs after 1998-99 when there is liberation of existing regular sport hunting regulations in autumn and to a lesser degree in winter. Bag limits increased, season length increased, previouly banned hunting methods were permitted. There is also a special spring conservation harvest on staging gounds in Quebec starting in 1999. Model containing hunting scheme change doess not perform well, but adult survival did decrease from 0.830, CI 0.809- -0.850, to 0.725, CI 0.686 - 0.760. Juv model no effect. Recovery rate increased in all seasons after the implementation of hunting measures. The mean ratio between juvenile and adult recovery rates (for the period with conservation measures) declined from 2<U+00B7>95 in autumn to 1<U+00B7>31 in winter and 0<U+00B7>85 in spring. In adults, mean annual kill rate increased after the introduction of special conservation measures (Fig. 4; t = 5<U+00B7>69, d.f. = 11, P < 001). Juvenile mean annual kill rates showed little change since the conservation measures (t = 1<U+00B7>03, d.f. = 11, P = 0<U+00B7>33). Adult kill rates increased in spring and winter, but not in autumn.",No,Surv,Yes,Negative,in adults,NA,NA,Decline in survival not solely explained by changes in hunting regime.,Yes
M028,Chocolate,Effects of exceptional conservation measures on survival and seasonal hunting mortality in greater snow geese,"Calvert, AM.",2005,Journal of Applied Ecology,NA,National,USA,North America,single-species,Anser caerulescens atlantica,Geese,Yes,Direct harvest,NA,Yes,NA,Survival,CMR,Banded recovery,all/combination,NA,Negative,Harvest rates increased in response to the relax in hunting regulations.,No,HR,Yes,Negative,NA,NA,NA,Just showing relaxation of hunting rates leads to an increase in harvest rates.,Yes
M029,Chocolate,Spatiotemporal heterogeneity of greater snow goose harvest and implications for hunting regulations,"Calvert, AM.",2005,Journal of Wildlife Management,NA,Flyway,Canada and USA,North America,single-species,Chen caerulescens atlantica,Geese,Yes,Direct harvest,NA,No,NA,Regional,CMR,Banded recovery,NA,NA,NA,"Looked at spatio-temporal trends in the havrest rates of greater snow geese in the Atlantic flyway over time. Gradual spreading of the harvest over time. Sudden northwards shift in winter - possibly due to short-stopping. Multiple data sources of harvesting. Harvest rate modelled against variables. Region*time interaction present in best model, showing harvest distribution change over time in US and Canada.",No,HD,Yes,None,location differences,NA,NA,Show how distribution of harvest changed over time - think this should be HD.,Yes
M029,Chocolate,Spatiotemporal heterogeneity of greater snow goose harvest and implications for hunting regulations,"Calvert, AM.",2005,Journal of Wildlife Management,NA,Flyway,Canada and USA,North America,single-species,Chen caerulescens atlantica,Geese,Yes,Direct harvest,NA,No,NA,Regional,CMR,Harvest rate,NA,NA,Positive,Short-stopping led tgo reduced overall hunting pressure on GSC - may have led to reduced harvest rates observed - possibility contributed to population increases.,No,HR,Yes,Positive,NA,NA,NA,Might not be the sole driver of population increases.,Yes
M029,Chocolate,Spatiotemporal heterogeneity of greater snow goose harvest and implications for hunting regulations,"Calvert, AM.",2005,Journal of Wildlife Management,NA,Flyway,Canada and USA,North America,single-species,Chen caerulescens atlantica,Geese,Yes,Direct harvest,NA,No,NA,Regional,CMR,Banded recovery,NA,Age bias,Bias,"More juv in canada (69%) than in US (44%). Country*age interaction rpesent in best model. Region^age interaction present in Quebec where recoveries are made in Canada. If harvest rate is different under diff regulations. Region*season not present in Quebec when there is spring harvest, but more adults are harvested in spring compared to fall (59% and 34% respectively). Harvest rate increase in adult but not juv after there is spring harvest. sex and interaction term only appeared in best model in Canada/US only. Canada Juv recovery has 51.1% female which is almost half. Adult female 57.4%. US juv 47.7%, adult 54.3% female.",No,VU,Yes,None,juveniles,NA,NA,"Juvenile HR higher further north, more adults harvested in spring. Suggests increased vulnerability to harvest for juvs. Should this be VU or HD?",Yes
